               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,             0.04469,             0.12944,           0.0077444,             0.27247,             0.24052,             0.19381,            0.088675,            0.055188,             0.20441,             0.04693,            0.007624,            0.007624,            0.007624
                  50,            0.044682,             0.12964,           0.0077037,             0.26952,             0.24228,             0.19365,            0.088681,            0.055185,             0.20444,            0.046947,           0.0075745,           0.0075745,           0.0075745
                  51,            0.044665,             0.12903,           0.0076424,             0.26926,             0.24157,              0.1936,             0.08869,            0.055184,              0.2044,            0.046976,            0.007525,            0.007525,            0.007525
                  52,            0.044461,             0.12898,           0.0076662,             0.27065,             0.24072,             0.19359,            0.088692,            0.055203,             0.20457,            0.047006,           0.0074755,           0.0074755,           0.0074755
                  53,             0.04449,             0.12858,           0.0076247,             0.26992,             0.24105,             0.19345,            0.088711,            0.055213,              0.2046,            0.047075,            0.007426,            0.007426,            0.007426
                  54,            0.044483,             0.12864,           0.0075873,             0.26994,             0.23959,             0.19336,            0.088668,            0.055219,             0.20478,            0.047165,           0.0073765,           0.0073765,           0.0073765
                  55,            0.044426,             0.12886,           0.0075967,             0.27097,             0.23879,             0.19351,            0.088811,            0.055216,             0.20483,            0.047276,            0.007327,            0.007327,            0.007327
                  56,            0.044455,             0.12867,           0.0075615,             0.27145,             0.23966,             0.19386,            0.088942,            0.055214,             0.20495,            0.047304,           0.0072775,           0.0072775,           0.0072775
                  57,            0.044425,              0.1293,           0.0075344,             0.27249,             0.23981,             0.19404,            0.088967,            0.055212,               0.205,             0.04739,            0.007228,            0.007228,            0.007228
                  58,            0.044406,             0.12882,           0.0075549,             0.27364,             0.23884,             0.19421,             0.08909,            0.055213,             0.20508,            0.047478,           0.0071785,           0.0071785,           0.0071785
                  59,             0.04436,             0.12927,           0.0075095,             0.27241,             0.24028,             0.19426,            0.089148,            0.055199,             0.20526,            0.047503,            0.007129,            0.007129,            0.007129
                  60,            0.044363,             0.12827,           0.0075306,             0.27484,             0.23996,             0.19452,             0.08934,            0.055188,              0.2053,            0.047567,           0.0070795,           0.0070795,           0.0070795
                  61,            0.044217,             0.12839,           0.0075085,             0.27485,             0.23987,             0.19467,            0.089558,            0.055183,             0.20539,            0.047656,             0.00703,             0.00703,             0.00703
                  62,            0.044095,             0.12741,           0.0074633,             0.27487,              0.2404,             0.19477,            0.089602,            0.055168,             0.20554,            0.047744,           0.0069805,           0.0069805,           0.0069805
                  63,            0.044101,             0.12838,           0.0074531,             0.27622,              0.2384,             0.19466,            0.089564,            0.055142,             0.20574,            0.047867,            0.006931,            0.006931,            0.006931
                  64,            0.044212,             0.12819,           0.0074261,              0.2763,             0.23797,             0.19448,            0.089576,            0.055127,             0.20581,            0.047997,           0.0068815,           0.0068815,           0.0068815
                  65,            0.044168,             0.12807,           0.0074609,             0.27679,             0.23796,             0.19436,            0.089544,              0.0551,             0.20581,            0.048068,            0.006832,            0.006832,            0.006832
                  66,            0.043991,             0.12738,           0.0073767,             0.27569,             0.23999,             0.19417,            0.089526,            0.055095,               0.206,            0.048105,           0.0067825,           0.0067825,           0.0067825
                  67,            0.044012,             0.12836,           0.0073652,             0.27584,             0.24045,             0.19425,            0.089622,            0.055077,             0.20605,            0.048172,            0.006733,            0.006733,            0.006733
                  68,            0.043906,             0.12843,           0.0073572,             0.27413,             0.24184,             0.19407,            0.089627,            0.055082,             0.20626,            0.048285,           0.0066835,           0.0066835,           0.0066835
                  69,            0.043902,             0.12736,           0.0073326,             0.27606,              0.2401,             0.19427,             0.08975,             0.05509,             0.20648,            0.048366,            0.006634,            0.006634,            0.006634
                  70,            0.043853,             0.12764,           0.0073309,             0.27495,             0.24125,             0.19437,            0.089881,            0.055082,              0.2066,            0.048367,           0.0065845,           0.0065845,           0.0065845
                  71,            0.043897,             0.12805,           0.0072614,             0.27625,             0.24002,             0.19429,            0.089965,            0.055082,             0.20662,            0.048421,            0.006535,            0.006535,            0.006535
                  72,            0.043916,             0.12777,             0.00734,             0.27814,             0.23858,             0.19426,            0.089954,            0.055085,             0.20674,            0.048471,           0.0064855,           0.0064855,           0.0064855
                  73,            0.043862,             0.12774,           0.0072751,             0.27686,             0.23923,             0.19423,            0.089985,            0.055072,             0.20687,            0.048542,            0.006436,            0.006436,            0.006436
                  74,            0.043833,             0.12685,           0.0072365,             0.27563,             0.23926,             0.19412,            0.089991,            0.055085,             0.20708,             0.04859,           0.0063865,           0.0063865,           0.0063865
                  75,            0.043784,             0.12734,           0.0072913,             0.27404,                0.24,             0.19402,            0.089892,            0.055087,             0.20716,            0.048659,            0.006337,            0.006337,            0.006337
                  76,            0.043729,             0.12739,           0.0072165,              0.2748,             0.24083,             0.19425,            0.089967,             0.05509,             0.20735,            0.048749,           0.0062875,           0.0062875,           0.0062875
                  77,            0.043674,             0.12698,           0.0072286,             0.27468,             0.24162,              0.1945,            0.090057,            0.055098,             0.20747,            0.048786,            0.006238,            0.006238,            0.006238
                  78,            0.043702,             0.12706,           0.0072502,             0.27381,             0.24198,             0.19454,            0.090159,            0.055114,             0.20764,            0.048796,           0.0061885,           0.0061885,           0.0061885
                  79,            0.043561,             0.12671,           0.0071808,             0.27127,             0.24399,             0.19453,            0.090134,            0.055145,              0.2077,            0.048835,            0.006139,            0.006139,            0.006139
                  80,            0.043694,             0.12744,           0.0072152,             0.27073,             0.24421,             0.19445,            0.090163,             0.05516,             0.20789,            0.048851,           0.0060895,           0.0060895,           0.0060895
                  81,            0.043626,             0.12718,           0.0071729,             0.27076,              0.2443,             0.19471,            0.090254,            0.055169,             0.20794,            0.048886,             0.00604,             0.00604,             0.00604
                  82,            0.043541,             0.12697,           0.0071583,             0.27089,               0.244,             0.19455,            0.090177,            0.055182,             0.20822,             0.04893,           0.0059905,           0.0059905,           0.0059905
                  83,            0.043488,             0.12633,           0.0071763,             0.26884,              0.2445,             0.19463,            0.090248,            0.055194,             0.20846,             0.04895,            0.005941,            0.005941,            0.005941
                  84,            0.043417,             0.12696,           0.0071525,             0.26892,             0.24437,             0.19464,            0.090228,            0.055193,             0.20854,            0.048954,           0.0058915,           0.0058915,           0.0058915
                  85,            0.043357,             0.12655,           0.0071245,             0.26989,             0.24397,               0.195,            0.090482,            0.055215,             0.20885,            0.048943,            0.005842,            0.005842,            0.005842
                  86,            0.043412,             0.12682,           0.0070835,             0.27078,             0.24313,             0.19489,            0.090435,            0.055233,             0.20926,            0.048904,           0.0057925,           0.0057925,           0.0057925
                  87,            0.043261,             0.12647,           0.0070658,             0.27056,             0.24369,             0.19495,             0.09053,            0.055241,             0.20956,            0.048844,            0.005743,            0.005743,            0.005743
                  88,            0.043338,             0.12568,           0.0070335,             0.27103,             0.24404,             0.19481,            0.090532,            0.055263,             0.20984,            0.048856,           0.0056935,           0.0056935,           0.0056935
                  89,            0.043345,             0.12648,           0.0070589,             0.27334,             0.24334,             0.19447,             0.09047,            0.055279,             0.21002,            0.048861,            0.005644,            0.005644,            0.005644
                  90,            0.043324,             0.12653,           0.0070348,             0.27255,             0.24393,             0.19439,             0.09039,            0.055296,             0.21025,            0.048901,           0.0055945,           0.0055945,           0.0055945
                  91,            0.043334,             0.12576,           0.0070943,             0.27251,             0.24434,             0.19432,             0.09034,            0.055316,             0.21035,            0.048946,            0.005545,            0.005545,            0.005545
                  92,            0.043127,             0.12592,           0.0070186,              0.2734,             0.24432,             0.19424,            0.090255,            0.055314,             0.21067,            0.048956,           0.0054955,           0.0054955,           0.0054955
                  93,            0.043231,             0.12627,           0.0070157,             0.27611,             0.24362,             0.19429,            0.090357,            0.055338,             0.21102,            0.049029,            0.005446,            0.005446,            0.005446
                  94,            0.043216,             0.12587,           0.0069997,             0.27472,             0.24466,             0.19418,             0.09025,            0.055353,              0.2112,            0.049068,           0.0053965,           0.0053965,           0.0053965
                  95,            0.043109,             0.12638,           0.0069879,             0.27376,             0.24533,             0.19435,            0.090324,            0.055345,             0.21133,            0.049062,            0.005347,            0.005347,            0.005347
                  96,            0.043044,             0.12563,            0.007006,             0.27612,             0.24517,              0.1945,             0.09037,            0.055353,             0.21148,            0.049011,           0.0052975,           0.0052975,           0.0052975
                  97,            0.043117,             0.12604,           0.0069575,             0.27626,              0.2458,             0.19487,            0.090527,            0.055362,             0.21172,            0.049008,            0.005248,            0.005248,            0.005248
                  98,            0.043046,             0.12498,           0.0069957,             0.27654,             0.24645,             0.19493,            0.090746,             0.05537,             0.21184,            0.048978,           0.0051985,           0.0051985,           0.0051985
                  99,            0.043069,             0.12628,           0.0069343,             0.27633,               0.247,             0.19522,            0.090903,            0.055375,             0.21197,            0.048929,            0.005149,            0.005149,            0.005149
                 100,            0.042977,              0.1255,            0.006942,             0.27706,             0.24679,             0.19512,            0.090827,             0.05538,             0.21225,            0.048885,           0.0050995,           0.0050995,           0.0050995
                 101,            0.043031,             0.12568,            0.006925,             0.27789,              0.2466,             0.19505,            0.090781,            0.055395,             0.21249,            0.048818,             0.00505,             0.00505,             0.00505
                 102,            0.042915,             0.12543,           0.0069107,             0.27747,             0.24742,             0.19519,            0.090805,            0.055408,             0.21283,            0.048747,           0.0050005,           0.0050005,           0.0050005
                 103,            0.042844,             0.12542,           0.0068938,              0.2774,             0.24706,             0.19495,            0.090731,            0.055434,             0.21307,            0.048712,            0.004951,            0.004951,            0.004951
